layers	total_length	gc_content	percent_completion	percent_redundancy	num_genes	avg_gene_length	num_genes_per_kb	singleton_gene_clusters	num_gene_clusters
ATCC_51524	1862135	0.395668971434886	97.1830985915493	2.8169014084507	1684	946.063539192399	0.904338299854737	24	1654
KPL1914	1890416	0.395322263579211	97.1830985915493	4.22535211267606	1770	931.325423728814	0.936301851021151	6	1693
KPL1922_CDC39_95	1859258	0.397188592234447	97.1830985915493	2.8169014084507	1708	942.583138173302	0.918646040517239	34	1680
KPL1930_CDC2949_98	1886398	0.395715460976184	97.1830985915493	1.40845070422535	1692	951.618794326241	0.896947515847663	19	1660
KPL1931_CDC4294_98	2014679	0.394709228255558	97.1830985915493	2.8169014084507	1914	901.761755485893	0.950027274816484	126	1864
KPL1932_CDC4420_98	1934436	0.396532784994606	97.1830985915493	1.40845070422535	1776	941.521959459459	0.918097057747064	17	1742
KPL1933_CDC4545_98	1861299	0.3958086191566	97.1830985915493	2.8169014084507	1703	945.229007633588	0.914952406894325	16	1665
KPL1934_CDC4709_98	1987888	0.396801872231848	97.1830985915493	2.8169014084507	1778	977.186726659168	0.894416586849963	8	1685
KPL1937_CDC4199_99	1976602	0.396463029696973	95.7746478873239	1.40845070422535	1795	929.510306406685	0.908124144364925	18	1745
KPL1938_CDC4791_99	1873869	0.395993668759452	97.1830985915493	2.8169014084507	1692	960.622340425532	0.90294465621663	18	1657
KPL1939_CDC4792_99	1893917	0.394257373059711	97.1830985915493	1.40845070422535	1734	939.614186851211	0.91556282561485	19	1693
KPL3033	1958196	0.39545683884555	97.1830985915493	1.40845070422535	1801	954.11327040533	0.919724072564748	17	1756
KPL3043	1885610	0.398018678305694	97.1830985915493	1.40845070422535	1714	957.630105017503	0.908989663822317	2	1654
KPL3050	2043806	0.393019200452489	97.1830985915493	2.8169014084507	1840	969.451630434783	0.900281142143628	15	1758
KPL3052	2001464	0.394258402849114	97.1830985915493	2.8169014084507	1820	965.518681318681	0.909334367243178	5	1752
KPL3065	1878426	0.398249917750287	97.1830985915493	1.40845070422535	1694	967.342384887839	0.901818863239755	0	1644
KPL3069	1977296	0.395783433537518	97.1830985915493	4.22535211267606	1870	926.619786096257	0.945735995015415	33	1790
KPL3070	1883862	0.397557252070481	97.1830985915493	1.40845070422535	1738	950.873993095512	0.922572884850376	1	1673
KPL3077	1957024	0.392277369994951	97.1830985915493	2.8169014084507	1837	929.010342950463	0.938670144055464	5	1759
KPL3084	1906822	0.396077347544763	97.1830985915493	2.8169014084507	1757	951.455890722823	0.921428429082526	1	1684
KPL3086	1864691	0.397932418829715	97.1830985915493	2.8169014084507	1706	953.164712778429	0.914896891763836	2	1646
KPL3090	2009643	0.397443227478711	97.1830985915493	2.8169014084507	1891	932.335272342676	0.940963146190642	20	1782
KPL3246	1946134	0.397926350395194	97.1830985915493	1.40845070422535	1720	995.748837209302	0.883803479102672	6	1668
KPL3250	1904333	0.396138700531892	97.1830985915493	2.8169014084507	1714	972.264294049008	0.900052669359823	2	1666
KPL3256	1941401	0.397289240565992	97.1830985915493	2.8169014084507	1800	944.846666666667	0.927165485131614	28	1740
KPL3264	1984755	0.396998974632871	97.1830985915493	2.8169014084507	1811	958.542241855329	0.912455189683361	12	1743
KPL3274	1875895	0.397648055994605	97.1830985915493	2.8169014084507	1684	979.922209026128	0.897704828895007	5	1639
KPL3911	1900145	0.395902417973365	97.1830985915493	2.8169014084507	1772	938.378668171558	0.932560409863458	1	1689
