gene	contig	start	stop	strand	ori	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
KPL1938_CDC4791_99___1	c_000000000001	71	1372	+	F	GC_00002788	1	cloud	0	0	1
KPL1938_CDC4791_99___2	c_000000000001	1712	7231	+	F	GC_00002067	1	cloud	2	1	2
KPL1938_CDC4791_99___3	c_000000000005	254	2224	-	F	GC_00001411	1	persistent	2	1	1
KPL1938_CDC4791_99___4	c_000000000005	2375	2695	-	F	GC_00001619	2	shell	1	2	1
KPL1938_CDC4791_99___5	c_000000000005	2709	3026	-	F	GC_00002283	1	cloud	0	1	1
KPL1938_CDC4791_99___6	c_000000000005	3028	4212	-	F	GC_00002287	1	cloud	0	0	2
KPL1938_CDC4791_99___7	c_000000000005	4225	5124	-	F	GC_00002263	1	cloud	0	0	2
KPL1938_CDC4791_99___8	c_000000000005	5366	7180	-	F	GC_00002211	1	cloud	0	0	3
KPL1938_CDC4791_99___9	c_000000000005	7199	8974	-	F	GC_00002399	1	cloud	0	0	2
KPL1938_CDC4791_99___10	c_000000000005	8977	10368	-	F	GC_00002286	1	cloud	0	0	2
KPL1938_CDC4791_99___11	c_000000000005	10397	11674	-	F	GC_00002450	1	cloud	1	0	1
KPL1938_CDC4791_99___12	c_000000000005	12006	13466	-	F	GC_00000930	1	persistent	3	2	2
KPL1938_CDC4791_99___13	c_000000000005	13783	14172	+	F	GC_00000909	1	persistent	3	1	0
KPL1938_CDC4791_99___14	c_000000000005	14291	15649	-	F	GC_00000943	1	persistent	3	0	0
KPL1938_CDC4791_99___15	c_000000000005	15851	16408	+	F	GC_00000403	1	persistent	2	0	0
KPL1938_CDC4791_99___16	c_000000000005	16405	16971	+	F	GC_00000568	1	persistent	2	0	0
KPL1938_CDC4791_99___17	c_000000000005	17032	18096	-	F	GC_00000614	1	persistent	2	0	0
KPL1938_CDC4791_99___18	c_000000000005	18099	19427	-	F	GC_00000885	1	persistent	2	0	0
KPL1938_CDC4791_99___19	c_000000000005	19710	20183	-	F	GC_00000815	1	persistent	2	0	0
KPL1938_CDC4791_99___20	c_000000000005	20292	21266	-	F	GC_00000355	1	persistent	2	0	0
KPL1938_CDC4791_99___21	c_000000000005	21350	22723	-	F	GC_00001306	1	persistent	3	0	0
KPL1938_CDC4791_99___22	c_000000000005	22853	23674	-	F	GC_00001354	1	persistent	2	0	1
KPL1938_CDC4791_99___23	c_000000000005	23787	27227	-	F	GC_00000937	1	persistent	3	0	1
KPL1938_CDC4791_99___24	c_000000000005	27632	30256	+	F	GC_00001195	1	persistent	2	0	0
KPL1938_CDC4791_99___25	c_000000000005	30365	30700	+	F	GC_00001261	1	persistent	3	1	0
KPL1938_CDC4791_99___26	c_000000000005	30943	31155	+	F	GC_00001723	1	shell	2	0	0
KPL1938_CDC4791_99___27	c_000000000005	31239	32564	-	F	GC_00000602	1	persistent	3	1	0
KPL1938_CDC4791_99___28	c_000000000005	32664	33530	-	F	GC_00000820	1	persistent	2	0	0
KPL1938_CDC4791_99___29	c_000000000005	33545	34435	-	F	GC_00000328	1	persistent	2	0	0
KPL1938_CDC4791_99___30	c_000000000005	34432	35490	-	F	GC_00000721	1	persistent	2	0	0
KPL1938_CDC4791_99___31	c_000000000005	35724	37526	-	F	GC_00001180	1	persistent	3	0	0
KPL1938_CDC4791_99___32	c_000000000005	37683	39272	-	F	GC_00001209	1	persistent	2	0	1
KPL1938_CDC4791_99___33	c_000000000005	39269	40570	-	F	GC_00001193	1	persistent	2	0	0
KPL1938_CDC4791_99___34	c_000000000005	40728	41648	+	F	GC_00000680	1	persistent	2	0	0
KPL1938_CDC4791_99___35	c_000000000005	41693	42550	-	F	GC_00000684	1	persistent	2	0	0
KPL1938_CDC4791_99___36	c_000000000005	42556	44817	-	F	GC_00001294	1	persistent	2	0	0
KPL1938_CDC4791_99___37	c_000000000005	45000	46199	-	F	GC_00000015	1	persistent	3	1	0
KPL1938_CDC4791_99___38	c_000000000005	46269	47189	-	F	GC_00000180	1	persistent	3	1	0
KPL1938_CDC4791_99___39	c_000000000005	47384	47647	-	F	GC_00000978	1	persistent	2	0	0
KPL1938_CDC4791_99___40	c_000000000005	47838	49130	-	F	GC_00000188	1	persistent	3	0	0
KPL1938_CDC4791_99___41	c_000000000005	49437	49724	+	F	GC_00001003	1	persistent	2	0	0
KPL1938_CDC4791_99___42	c_000000000005	49853	53890	-	F	GC_00000212	1	persistent	3	0	0
KPL1938_CDC4791_99___43	c_000000000005	53900	54601	-	F	GC_00000421	1	persistent	2	0	0
KPL1938_CDC4791_99___44	c_000000000005	54731	55333	+	F	GC_00001257	1	persistent	2	1	0
KPL1938_CDC4791_99___45	c_000000000005	55644	56324	+	F	GC_00001686	1	shell	1	1	0
KPL1938_CDC4791_99___46	c_000000000005	56331	56918	+	F	GC_00001682	1	shell	1	1	0
KPL1938_CDC4791_99___47	c_000000000005	57009	57566	-	F	GC_00000922	1	persistent	2	1	0
KPL1938_CDC4791_99___48	c_000000000005	57566	58339	-	F	GC_00001267	1	persistent	2	0	0
KPL1938_CDC4791_99___49	c_000000000005	58435	59616	-	F	GC_00000736	1	persistent	2	0	0
KPL1938_CDC4791_99___50	c_000000000005	59640	61097	-	F	GC_00000481	1	persistent	2	0	0
KPL1938_CDC4791_99___51	c_000000000005	61100	61816	-	F	GC_00000288	1	persistent	2	1	0
KPL1938_CDC4791_99___52	c_000000000005	61849	61989	-	F	GC_00001494	1	shell	2	0	0
KPL1938_CDC4791_99___53	c_000000000005	62023	62358	-	F	GC_00000473	1	persistent	2	1	0
KPL1938_CDC4791_99___54	c_000000000005	62671	64362	+	F	GC_00000636	1	persistent	2	0	0
KPL1938_CDC4791_99___55	c_000000000005	64505	65476	-	F	GC_00000823	1	persistent	2	0	0
KPL1938_CDC4791_99___56	c_000000000005	65652	66542	-	F	GC_00001030	1	persistent	2	0	0
KPL1938_CDC4791_99___57	c_000000000005	66856	68439	-	F	GC_00001036	1	persistent	3	0	0
KPL1938_CDC4791_99___58	c_000000000005	68659	70683	-	F	GC_00000963	1	persistent	3	0	0
KPL1938_CDC4791_99___59	c_000000000005	70819	71289	-	F	GC_00000009	2	persistent	4	1	0
KPL1938_CDC4791_99___60	c_000000000005	71324	71815	-	F	GC_00000470	1	persistent	3	0	2
KPL1938_CDC4791_99___61	c_000000000008	45	143	+	F	GC_00000002	9	persistent	37	10	4
KPL1938_CDC4791_99___62	c_000000000008	502	870	+	F	GC_00000369	1	persistent	5	0	0
KPL1938_CDC4791_99___63	c_000000000008	1016	1237	+	F	GC_00000566	1	persistent	2	1	0
KPL1938_CDC4791_99___64	c_000000000008	1253	3097	+	F	GC_00000038	1	persistent	4	1	0
KPL1938_CDC4791_99___65	c_000000000008	3241	3708	+	F	GC_00001348	1	persistent	2	1	0
KPL1938_CDC4791_99___66	c_000000000008	4526	5131	+	F	GC_00001352	1	persistent	5	1	0
KPL1938_CDC4791_99___67	c_000000000008	5870	6475	+	F	GC_00000311	1	persistent	5	0	2
KPL1938_CDC4791_99___68	c_000000000008	6539	7102	-	F	GC_00001349	1	persistent	4	0	0
KPL1938_CDC4791_99___69	c_000000000008	7307	9544	+	F	GC_00001050	1	persistent	3	0	0
KPL1938_CDC4791_99___70	c_000000000008	9844	12261	+	F	GC_00000948	1	persistent	2	0	1
KPL1938_CDC4791_99___71	c_000000000008	12422	14086	+	F	GC_00000643	1	persistent	2	0	1
KPL1938_CDC4791_99___72	c_000000000008	14169	14891	+	F	GC_00000397	1	persistent	2	0	0
KPL1938_CDC4791_99___73	c_000000000008	15052	16116	+	F	GC_00000496	1	persistent	2	0	0
KPL1938_CDC4791_99___74	c_000000000008	16070	17134	+	F	GC_00000741	1	persistent	2	0	0
KPL1938_CDC4791_99___75	c_000000000008	17131	17454	+	F	GC_00000531	1	persistent	2	0	0
KPL1938_CDC4791_99___76	c_000000000008	17461	17907	+	F	GC_00000572	1	persistent	2	0	0
KPL1938_CDC4791_99___77	c_000000000008	17891	18214	+	F	GC_00000488	1	persistent	2	0	0
KPL1938_CDC4791_99___78	c_000000000008	18198	18632	+	F	GC_00000630	1	persistent	2	0	0
KPL1938_CDC4791_99___79	c_000000000008	18622	19458	+	F	GC_00001290	1	persistent	2	0	0
KPL1938_CDC4791_99___80	c_000000000008	19703	20764	+	F	GC_00000814	1	persistent	2	0	0
KPL1938_CDC4791_99___81	c_000000000008	20781	21338	+	F	GC_00000778	1	persistent	2	0	0
KPL1938_CDC4791_99___82	c_000000000008	21361	21732	+	F	GC_00000292	1	persistent	2	0	0
KPL1938_CDC4791_99___83	c_000000000008	21775	22269	+	F	GC_00000392	1	persistent	2	0	0
KPL1938_CDC4791_99___84	c_000000000008	22301	23656	+	F	GC_00000163	1	persistent	3	0	0
KPL1938_CDC4791_99___85	c_000000000008	23653	23874	+	F	GC_00000378	1	persistent	2	0	0
KPL1938_CDC4791_99___86	c_000000000008	23885	24775	+	F	GC_00001246	1	persistent	2	0	0
KPL1938_CDC4791_99___87	c_000000000008	24776	25582	+	F	GC_00001203	1	persistent	2	0	0
KPL1938_CDC4791_99___88	c_000000000008	25604	27289	+	F	GC_00000861	1	persistent	2	0	0
KPL1938_CDC4791_99___89	c_000000000008	27369	27497	-	F	GC_00000265	1	persistent	2	0	0
KPL1938_CDC4791_99___90	c_000000000008	27639	29078	+	F	GC_00000114	1	persistent	3	0	0
KPL1938_CDC4791_99___91	c_000000000008	29259	29915	+	F	GC_00000437	1	persistent	2	0	0
KPL1938_CDC4791_99___92	c_000000000008	29927	30289	+	F	GC_00000287	1	persistent	2	0	0
KPL1938_CDC4791_99___93	c_000000000008	30452	31144	+	F	GC_00000231	1	persistent	2	0	0
KPL1938_CDC4791_99___94	c_000000000008	31141	32640	+	F	GC_00000745	1	persistent	2	0	0
KPL1938_CDC4791_99___95	c_000000000008	32732	33919	+	F	GC_00000792	1	persistent	2	0	0
KPL1938_CDC4791_99___96	c_000000000008	33931	35229	+	F	GC_00000487	1	persistent	2	0	0
KPL1938_CDC4791_99___97	c_000000000008	35248	36216	+	F	GC_00000663	1	persistent	2	0	0
KPL1938_CDC4791_99___98	c_000000000008	36312	38399	+	F	GC_00000192	1	persistent	3	0	0
KPL1938_CDC4791_99___99	c_000000000008	38464	38871	+	F	GC_00000236	1	persistent	2	0	0
KPL1938_CDC4791_99___100	c_000000000008	38963	40180	+	F	GC_00001014	1	persistent	2	0	0
KPL1938_CDC4791_99___101	c_000000000008	40192	42903	+	F	GC_00000194	1	persistent	4	0	0
KPL1938_CDC4791_99___102	c_000000000008	42896	43843	+	F	GC_00001381	1	persistent	2	0	0
KPL1938_CDC4791_99___103	c_000000000008	43975	45069	+	F	GC_00001133	1	persistent	3	0	0
KPL1938_CDC4791_99___104	c_000000000008	45164	45508	-	F	GC_00000540	1	persistent	2	0	0
KPL1938_CDC4791_99___105	c_000000000008	45505	45942	-	F	GC_00000534	1	persistent	3	0	0
KPL1938_CDC4791_99___106	c_000000000008	46061	46792	+	F	GC_00001371	1	persistent	2	0	0
KPL1938_CDC4791_99___107	c_000000000008	46799	48004	+	F	GC_00001170	1	persistent	3	0	0
KPL1938_CDC4791_99___108	c_000000000008	48173	48961	+	F	GC_00000731	1	persistent	2	0	0
KPL1938_CDC4791_99___109	c_000000000008	49005	49664	+	F	GC_00000387	1	persistent	2	0	0
KPL1938_CDC4791_99___110	c_000000000008	49746	50084	-	F	GC_00000652	1	persistent	2	0	0
KPL1938_CDC4791_99___111	c_000000000008	50286	51359	+	F	GC_00000813	1	persistent	2	0	0
KPL1938_CDC4791_99___112	c_000000000008	51385	51987	+	F	GC_00000783	1	persistent	2	0	0
KPL1938_CDC4791_99___113	c_000000000008	52019	52555	+	F	GC_00001228	1	persistent	2	0	0
KPL1938_CDC4791_99___114	c_000000000008	52621	53952	+	F	GC_00000876	1	persistent	2	1	0
KPL1938_CDC4791_99___115	c_000000000008	54127	56706	+	F	GC_00001613	1	shell	1	1	0
KPL1938_CDC4791_99___116	c_000000000008	56699	57640	+	F	GC_00001554	1	shell	1	3	0
KPL1938_CDC4791_99___117	c_000000000008	57653	58063	-	F	GC_00001607	1	shell	1	1	0
KPL1938_CDC4791_99___118	c_000000000008	58402	59421	+	F	GC_00001167	1	persistent	2	2	0
KPL1938_CDC4791_99___119	c_000000000008	59476	60897	+	F	GC_00001368	1	persistent	3	0	0
KPL1938_CDC4791_99___120	c_000000000008	60961	62157	+	F	GC_00001442	1	persistent	2	0	0
KPL1938_CDC4791_99___121	c_000000000008	62145	63125	+	F	GC_00001373	1	persistent	4	0	1
KPL1938_CDC4791_99___122	c_000000000008	63156	63941	+	F	GC_00001419	1	persistent	2	0	0
KPL1938_CDC4791_99___123	c_000000000008	63980	65062	+	F	GC_00000130	1	persistent	4	0	1
KPL1938_CDC4791_99___124	c_000000000008	65087	67612	+	F	GC_00000173	1	persistent	3	0	0
KPL1938_CDC4791_99___125	c_000000000008	67639	68382	+	F	GC_00001361	1	persistent	2	0	0
KPL1938_CDC4791_99___126	c_000000000008	68454	68735	+	F	GC_00001343	1	persistent	2	0	0
KPL1938_CDC4791_99___127	c_000000000008	68822	69715	+	F	GC_00000938	1	persistent	2	0	0
KPL1938_CDC4791_99___128	c_000000000008	69902	71755	+	F	GC_00000181	1	persistent	3	0	0
KPL1938_CDC4791_99___129	c_000000000008	71833	72945	-	F	GC_00000154	1	persistent	3	0	0
KPL1938_CDC4791_99___130	c_000000000008	73119	74096	+	F	GC_00000890	1	persistent	2	0	0
KPL1938_CDC4791_99___131	c_000000000008	74106	74312	-	F	GC_00000626	1	persistent	2	0	0
KPL1938_CDC4791_99___132	c_000000000008	74487	75719	+	F	GC_00001276	1	persistent	2	0	0
KPL1938_CDC4791_99___133	c_000000000008	75787	76842	-	F	GC_00000881	1	persistent	2	0	0
KPL1938_CDC4791_99___134	c_000000000008	76888	77628	-	F	GC_00000615	1	persistent	2	0	0
KPL1938_CDC4791_99___135	c_000000000008	78288	78800	+	F	GC_00001047	1	persistent	3	0	0
KPL1938_CDC4791_99___136	c_000000000008	78866	79471	-	F	GC_00001351	1	persistent	2	0	0
