gene	contig	start	stop	strand	ori	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
KPL3065___1	c_000000000001	1	1338	+	F	GC_00000444	1	persistent	2	0	0
KPL3065___2	c_000000000001	1569	2705	+	F	GC_00000336	1	persistent	2	0	0
KPL3065___3	c_000000000001	2921	3157	+	F	GC_00000607	1	persistent	2	0	0
KPL3065___4	c_000000000001	3160	4305	+	F	GC_00001106	1	persistent	2	0	0
KPL3065___5	c_000000000001	4308	6254	+	F	GC_00000126	1	persistent	3	0	0
KPL3065___6	c_000000000001	6349	9012	+	F	GC_00001181	1	persistent	2	0	0
KPL3065___7	c_000000000001	9159	9896	+	F	GC_00000591	1	persistent	2	0	0
KPL3065___8	c_000000000001	9992	11287	-	F	GC_00001127	1	persistent	3	0	0
KPL3065___9	c_000000000001	11549	12886	-	F	GC_00000748	1	persistent	3	0	0
KPL3065___10	c_000000000001	13205	13504	+	F	GC_00000291	1	persistent	2	0	0
KPL3065___11	c_000000000001	13559	14068	+	F	GC_00000389	1	persistent	2	0	0
KPL3065___12	c_000000000001	14098	14334	+	F	GC_00000223	1	persistent	3	0	0
KPL3065___13	c_000000000001	14484	16475	+	F	GC_00000704	1	persistent	3	0	0
KPL3065___14	c_000000000001	16491	16943	+	F	GC_00000477	1	persistent	2	0	0
KPL3065___15	c_000000000001	17124	18518	+	F	GC_00000425	1	persistent	2	1	0
KPL3065___16	c_000000000001	19461	20189	-	F	GC_00001550	1	shell	2	1	0
KPL3065___17	c_000000000001	20186	21082	-	F	GC_00001499	1	shell	0	3	1
KPL3065___18	c_000000000001	21095	21400	-	F	GC_00001556	1	shell	0	2	1
KPL3065___19	c_000000000001	21384	21626	-	F	GC_00001557	1	shell	2	1	1
KPL3065___20	c_000000000001	21960	22088	+	F	GC_00000002	4	persistent	37	10	4
KPL3065___21	c_000000000001	22051	23004	-	F	GC_00000976	1	persistent	3	1	0
KPL3065___22	c_000000000001	23075	23455	+	F	GC_00000274	1	persistent	2	0	0
KPL3065___23	c_000000000001	23452	24156	+	F	GC_00000525	1	persistent	2	0	0
KPL3065___24	c_000000000001	24293	24685	+	F	GC_00000273	1	persistent	2	0	0
KPL3065___25	c_000000000001	24682	25386	+	F	GC_00000589	1	persistent	2	0	0
KPL3065___26	c_000000000001	25512	26618	+	F	GC_00000096	1	persistent	5	0	0
KPL3065___27	c_000000000001	27256	28551	+	F	GC_00000001	8	persistent	76	15	10
KPL3065___28	c_000000000001	28825	29202	-	F	GC_00000554	1	persistent	4	0	0
KPL3065___29	c_000000000001	29221	29664	-	F	GC_00000440	1	persistent	2	0	0
KPL3065___30	c_000000000001	29815	30333	+	F	GC_00000779	1	persistent	2	0	0
KPL3065___31	c_000000000001	30411	31121	+	F	GC_00000433	1	persistent	2	0	0
KPL3065___32	c_000000000001	31129	33000	+	F	GC_00000514	1	persistent	2	0	0
KPL3065___33	c_000000000001	32997	34319	+	F	GC_00000916	1	persistent	2	0	0
KPL3065___34	c_000000000001	34309	35172	+	F	GC_00000519	1	persistent	2	0	0
KPL3065___35	c_000000000001	35303	36115	+	F	GC_00000402	1	persistent	3	0	0
KPL3065___36	c_000000000001	36219	37421	+	F	GC_00000993	1	persistent	3	0	0
KPL3065___37	c_000000000001	37642	38121	+	F	GC_00000852	1	persistent	3	0	1
KPL3065___38	c_000000000001	38221	39567	+	F	GC_00000363	1	persistent	2	0	1
KPL3065___39	c_000000000001	39576	41027	+	F	GC_00000142	1	persistent	3	0	0
KPL3065___40	c_000000000001	41097	41651	-	F	GC_00001344	1	persistent	2	0	0
KPL3065___41	c_000000000001	42032	42532	+	F	GC_00000377	1	persistent	2	0	0
KPL3065___42	c_000000000001	42518	42970	-	F	GC_00000954	1	persistent	2	0	0
KPL3065___43	c_000000000001	43021	43662	+	F	GC_00000812	1	persistent	2	0	0
KPL3065___44	c_000000000001	43649	44518	-	F	GC_00001073	1	persistent	2	0	0
KPL3065___45	c_000000000001	44589	45116	-	F	GC_00000975	1	persistent	2	0	2
KPL3065___46	c_000000000001	45911	47569	+	F	GC_00000912	1	persistent	2	0	2
KPL3065___47	c_000000000001	47569	48417	+	F	GC_00001295	1	persistent	2	0	0
KPL3065___48	c_000000000001	48476	50065	+	F	GC_00000069	1	persistent	4	0	2
KPL3065___49	c_000000000001	50359	50802	+	F	GC_00001337	1	persistent	2	0	1
KPL3065___50	c_000000000001	50836	51027	+	F	GC_00000234	1	persistent	3	0	0
KPL3065___51	c_000000000001	50996	51412	+	F	GC_00000289	1	persistent	2	0	0
KPL3065___52	c_000000000001	51596	51913	-	F	GC_00000280	1	persistent	2	0	0
KPL3065___53	c_000000000001	52025	52237	-	F	GC_00000431	1	persistent	2	0	0
KPL3065___54	c_000000000001	52296	53426	-	F	GC_00001146	1	persistent	2	2	1
KPL3065___55	c_000000000001	53965	54720	-	F	GC_00001755	1	shell	1	1	0
KPL3065___56	c_000000000001	55055	55513	-	F	GC_00001679	1	shell	2	2	0
KPL3065___57	c_000000000001	55510	55611	-	F	GC_00001691	1	shell	1	1	0
