gene	contig	start	stop	strand	ori	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
KPL1933_CDC4545_98___1	c_000000000002	92	628	+	F	GC_00002656	1	cloud	1	0	0
KPL1933_CDC4545_98___2	c_000000000002	952	1824	+	F	GC_00001325	1	persistent	2	0	7
KPL1933_CDC4545_98___3	c_000000000002	2066	2752	+	F	GC_00000370	1	persistent	2	0	1
KPL1933_CDC4545_98___4	c_000000000002	2742	3629	+	F	GC_00000653	1	persistent	2	0	0
KPL1933_CDC4545_98___5	c_000000000002	3696	4616	-	F	GC_00001311	1	persistent	1	2	0
KPL1933_CDC4545_98___6	c_000000000002	4796	5284	+	F	GC_00001611	1	shell	1	1	0
KPL1933_CDC4545_98___7	c_000000000002	5299	6159	+	F	GC_00001603	1	shell	1	1	0
KPL1933_CDC4545_98___8	c_000000000002	6274	6939	+	F	GC_00000717	1	persistent	1	2	0
KPL1933_CDC4545_98___9	c_000000000002	6994	8286	-	F	GC_00000984	1	persistent	2	0	0
KPL1933_CDC4545_98___10	c_000000000002	8499	9824	+	F	GC_00000965	1	persistent	2	1	0
KPL1933_CDC4545_98___11	c_000000000002	9917	10750	-	F	GC_00001531	1	shell	1	1	0
KPL1933_CDC4545_98___12	c_000000000002	10907	11992	+	F	GC_00001506	1	shell	0	3	0
KPL1933_CDC4545_98___13	c_000000000002	12204	13571	+	F	GC_00001520	1	shell	0	2	0
KPL1933_CDC4545_98___14	c_000000000002	13656	14546	+	F	GC_00001511	1	shell	0	2	0
KPL1933_CDC4545_98___15	c_000000000002	14558	15433	+	F	GC_00001521	1	shell	0	2	0
KPL1933_CDC4545_98___16	c_000000000002	15503	17668	+	F	GC_00001538	1	shell	0	2	0
KPL1933_CDC4545_98___17	c_000000000002	17665	17832	+	F	GC_00001513	1	shell	0	2	0
KPL1933_CDC4545_98___18	c_000000000002	17859	18752	+	F	GC_00001539	1	shell	1	1	0
KPL1933_CDC4545_98___19	c_000000000002	18826	19725	-	F	GC_00000452	1	persistent	2	1	0
KPL1933_CDC4545_98___20	c_000000000002	19745	20302	-	F	GC_00000364	1	persistent	2	0	0
KPL1933_CDC4545_98___21	c_000000000002	20521	23157	+	F	GC_00001322	1	persistent	2	0	0
KPL1933_CDC4545_98___22	c_000000000002	23345	24382	+	F	GC_00000570	1	persistent	2	0	0
KPL1933_CDC4545_98___23	c_000000000002	24360	24941	+	F	GC_00000695	1	persistent	2	0	0
KPL1933_CDC4545_98___24	c_000000000002	25169	26980	+	F	GC_00001059	1	persistent	2	0	0
KPL1933_CDC4545_98___25	c_000000000002	27074	27625	-	F	GC_00001101	1	persistent	2	0	0
KPL1933_CDC4545_98___26	c_000000000002	27660	29249	-	F	GC_00000111	1	persistent	3	1	0
KPL1933_CDC4545_98___27	c_000000000002	29498	30238	+	F	GC_00000973	1	persistent	2	1	0
KPL1933_CDC4545_98___28	c_000000000002	30252	30521	+	F	GC_00000672	1	persistent	3	1	0
KPL1933_CDC4545_98___29	c_000000000002	31032	31874	+	F	GC_00000120	1	persistent	4	1	0
KPL1933_CDC4545_98___30	c_000000000002	31871	32842	+	F	GC_00000918	1	persistent	2	0	0
KPL1933_CDC4545_98___31	c_000000000002	32876	34225	+	F	GC_00000430	1	persistent	2	0	0
KPL1933_CDC4545_98___32	c_000000000002	34313	35101	+	F	GC_00001126	1	persistent	3	0	0
KPL1933_CDC4545_98___33	c_000000000002	35233	35901	-	F	GC_00001078	1	persistent	2	3	0
KPL1933_CDC4545_98___34	c_000000000002	36816	37676	+	F	GC_00001412	1	shell	1	2	2
