gene	contig	start	stop	strand	ori	family	nb_copy_in_org	partition	persistent_neighbors	shell_neighbors	cloud_neighbors
KPL3069___1	c_000000000001	1	1338	+	F	GC_00000444	1	persistent	2	0	0
KPL3069___2	c_000000000001	1569	2705	+	F	GC_00000336	1	persistent	2	0	0
KPL3069___3	c_000000000001	2922	3158	+	F	GC_00000607	1	persistent	2	0	0
KPL3069___4	c_000000000001	3161	4306	+	F	GC_00001106	1	persistent	2	0	0
KPL3069___5	c_000000000001	4309	6255	+	F	GC_00000126	1	persistent	3	0	0
KPL3069___6	c_000000000001	6350	9013	+	F	GC_00001181	1	persistent	2	0	0
KPL3069___7	c_000000000001	9160	9897	+	F	GC_00000591	1	persistent	2	0	0
KPL3069___8	c_000000000001	9992	11287	-	F	GC_00001127	1	persistent	3	0	0
KPL3069___9	c_000000000001	11549	12886	-	F	GC_00000748	1	persistent	3	0	0
KPL3069___10	c_000000000001	13207	13506	+	F	GC_00000291	1	persistent	2	0	0
KPL3069___11	c_000000000001	13561	14076	+	F	GC_00000389	1	persistent	2	0	0
KPL3069___12	c_000000000001	14106	14342	+	F	GC_00000223	1	persistent	3	0	0
KPL3069___13	c_000000000001	14492	16483	+	F	GC_00000704	1	persistent	3	0	0
KPL3069___14	c_000000000001	16499	16951	+	F	GC_00000477	1	persistent	2	0	0
KPL3069___15	c_000000000001	17132	18526	+	F	GC_00000425	1	persistent	2	1	0
KPL3069___16	c_000000000001	18593	19546	-	F	GC_00000976	1	persistent	3	1	0
KPL3069___17	c_000000000001	19617	19997	+	F	GC_00000274	1	persistent	2	0	0
KPL3069___18	c_000000000001	19994	20698	+	F	GC_00000525	1	persistent	2	0	0
KPL3069___19	c_000000000001	20835	21227	+	F	GC_00000273	1	persistent	2	0	0
KPL3069___20	c_000000000001	21224	21928	+	F	GC_00000589	1	persistent	2	0	0
KPL3069___21	c_000000000001	22054	22251	+	F	GC_00000096	2	persistent	5	0	0
KPL3069___22	c_000000000001	22245	23159	+	F	GC_00000096	2	persistent	5	0	0
KPL3069___23	c_000000000001	23493	23870	-	F	GC_00000554	1	persistent	4	0	0
KPL3069___24	c_000000000001	23889	24332	-	F	GC_00000440	1	persistent	2	0	0
KPL3069___25	c_000000000001	24483	25001	+	F	GC_00000779	1	persistent	2	0	0
KPL3069___26	c_000000000001	25079	25789	+	F	GC_00000433	1	persistent	2	0	0
KPL3069___27	c_000000000001	25797	27668	+	F	GC_00000514	1	persistent	2	0	0
