locus_tag	ftype	length_bp	gene	EC_number	COG	product
HJLADMHE_00001	tRNA	87				tRNA-Leu(taa)
HJLADMHE_00002	tRNA	76				tRNA-Arg(acg)
HJLADMHE_00003	tRNA	74				tRNA-Pro(tgg)
HJLADMHE_00004	tRNA	75				tRNA-Met(cat)
HJLADMHE_00005	tRNA	76				tRNA-Asp(gtc)
HJLADMHE_00006	tRNA	71				tRNA-Gly(tcc)
HJLADMHE_00007	tRNA	76				tRNA-Ile(gat)
HJLADMHE_00008	tRNA	91				tRNA-Ser(gct)
HJLADMHE_00009	tRNA	72				tRNA-Glu(ttc)
HJLADMHE_00010	tRNA	90				tRNA-Ser(tga)
HJLADMHE_00011	tRNA	76				tRNA-Asp(gtc)
HJLADMHE_00012	tRNA	73				tRNA-Thr(tgt)
HJLADMHE_00013	tRNA	82				tRNA-Leu(tag)
HJLADMHE_00014	tRNA	73				tRNA-Lys(ttt)
HJLADMHE_00015	tRNA	87				tRNA-Leu(taa)
HJLADMHE_00016	tRNA	72				tRNA-Gly(gcc)
HJLADMHE_00017	tRNA	73				tRNA-Thr(tgt)
HJLADMHE_00018	CDS	336				hypothetical protein
HJLADMHE_00019	CDS	1374				hypothetical protein
HJLADMHE_00020	CDS	174				hypothetical protein
HJLADMHE_00021	CDS	597				hypothetical protein
HJLADMHE_00022	CDS	714				hypothetical protein
HJLADMHE_00023	CDS	1014				hypothetical protein
HJLADMHE_00024	CDS	2331				hypothetical protein
HJLADMHE_00025	CDS	1599				hypothetical protein
HJLADMHE_00026	CDS	546	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
HJLADMHE_00027	CDS	1395				hypothetical protein
HJLADMHE_00028	CDS	474	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
HJLADMHE_00029	CDS	1239	sufS_1	2.8.1.7	COG0520	Cysteine desulfurase SufS
HJLADMHE_00030	CDS	1293				hypothetical protein
HJLADMHE_00031	CDS	774				putative ABC transporter ATP-binding protein
HJLADMHE_00032	CDS	369	gcvH_1			Glycine cleavage system H protein
HJLADMHE_00033	CDS	1062				hypothetical protein
HJLADMHE_00034	CDS	231				hypothetical protein
HJLADMHE_00035	CDS	738	cobB_1	2.3.1.286	COG0846	NAD-dependent protein deacetylase
HJLADMHE_00036	CDS	1212	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
HJLADMHE_00037	tmRNA	358	ssrA			transfer-messenger RNA, SsrA
HJLADMHE_00038	CDS	339				hypothetical protein
HJLADMHE_00039	CDS	732	nagB	3.5.99.6	COG0363	Glucosamine-6-phosphate deaminase
HJLADMHE_00040	CDS	1134	nagA	3.5.1.25	COG1820	N-acetylglucosamine-6-phosphate deacetylase
HJLADMHE_00041	CDS	843	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
HJLADMHE_00042	CDS	1482	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
HJLADMHE_00043	CDS	1104	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
HJLADMHE_00044	CDS	735	tarA	2.4.1.187		N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase
HJLADMHE_00045	CDS	921	coaA	2.7.1.33		Pantothenate kinase
HJLADMHE_00046	CDS	966	galK_1	2.7.1.6		Galactokinase
HJLADMHE_00047	CDS	1011				hypothetical protein
HJLADMHE_00048	CDS	1107		2.7.4.2		Phosphomevalonate kinase
HJLADMHE_00049	CDS	1053	fni	5.3.3.2		Isopentenyl-diphosphate delta-isomerase
HJLADMHE_00050	CDS	615				hypothetical protein
HJLADMHE_00051	CDS	228				hypothetical protein
HJLADMHE_00052	CDS	711	deoD	2.4.2.1		Purine nucleoside phosphorylase DeoD-type
HJLADMHE_00053	CDS	1473	ctpA	3.4.21.102	COG0793	Carboxy-terminal processing protease CtpA
HJLADMHE_00054	CDS	618	spsB	3.4.21.89	COG0681	Signal peptidase IB
HJLADMHE_00055	CDS	876	rbgA		COG1161	Ribosome biogenesis GTPase A
HJLADMHE_00056	CDS	774	rnhB	3.1.26.4	COG0164	Ribonuclease HII
HJLADMHE_00057	CDS	975				hypothetical protein
HJLADMHE_00058	CDS	888				hypothetical protein
HJLADMHE_00059	CDS	810	ytrE		COG1136	ABC transporter ATP-binding protein YtrE
HJLADMHE_00060	CDS	441				hypothetical protein
HJLADMHE_00061	CDS	834	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
HJLADMHE_00062	CDS	321				hypothetical protein
HJLADMHE_00063	CDS	666				hypothetical protein
HJLADMHE_00064	CDS	1485				hypothetical protein
HJLADMHE_00065	CDS	852				hypothetical protein
HJLADMHE_00066	CDS	441				hypothetical protein
HJLADMHE_00067	CDS	624				hypothetical protein
HJLADMHE_00068	CDS	1239	pepS	3.4.11.-	COG2309	Aminopeptidase PepS
HJLADMHE_00069	CDS	1485	yjeM			Inner membrane transporter YjeM
HJLADMHE_00070	CDS	450				hypothetical protein
HJLADMHE_00071	CDS	348				hypothetical protein
HJLADMHE_00072	CDS	507				hypothetical protein
HJLADMHE_00073	CDS	273		1.1.1.119	COG1028	Glucose 1-dehydrogenase
HJLADMHE_00074	CDS	306				hypothetical protein
HJLADMHE_00075	CDS	573	lnrL	3.6.3.-	COG1131	Linearmycin resistance ATP-binding protein LnrL
HJLADMHE_00076	CDS	741				hypothetical protein
HJLADMHE_00077	CDS	273				hypothetical protein
HJLADMHE_00078	CDS	204				hypothetical protein
HJLADMHE_00079	CDS	597	plsY	2.3.1.275	COG0344	Glycerol-3-phosphate acyltransferase
HJLADMHE_00080	CDS	2004	parE	5.6.2.2	COG0187	DNA topoisomerase 4 subunit B
HJLADMHE_00081	CDS	2472	parC	5.6.2.2	COG0188	DNA topoisomerase 4 subunit A
HJLADMHE_00082	CDS	2250	pflB	2.3.1.54		Formate acetyltransferase
HJLADMHE_00083	CDS	747	pflA	1.97.1.4		Pyruvate formate-lyase-activating enzyme
HJLADMHE_00084	CDS	930	ppaC	3.6.1.1	COG1227	Manganese-dependent inorganic pyrophosphatase
HJLADMHE_00085	CDS	867				hypothetical protein
HJLADMHE_00086	CDS	1218				hypothetical protein
HJLADMHE_00087	CDS	510				hypothetical protein
HJLADMHE_00088	CDS	363				hypothetical protein
HJLADMHE_00089	CDS	291				hypothetical protein
HJLADMHE_00090	CDS	255				hypothetical protein
HJLADMHE_00091	CDS	633	thiE	2.5.1.3	COG0352	Thiamine-phosphate synthase
HJLADMHE_00092	CDS	819	codY		COG4465	GTP-sensing transcriptional pleiotropic repressor CodY
HJLADMHE_00093	CDS	1446	clpY		COG1220	ATP-dependent protease ATPase subunit ClpY
HJLADMHE_00094	CDS	528	clpQ	3.4.21.-	COG5405	ATP-dependent protease subunit ClpQ
HJLADMHE_00095	CDS	903	xerC_1		COG4974	Tyrosine recombinase XerC
HJLADMHE_00096	CDS	2067	topA	5.6.2.1		DNA topoisomerase 1
HJLADMHE_00097	CDS	870				hypothetical protein
HJLADMHE_00098	CDS	486				hypothetical protein
HJLADMHE_00099	CDS	363	rplS		COG0335	50S ribosomal protein L19
HJLADMHE_00100	CDS	912	rluD_1	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
HJLADMHE_00101	CDS	468	lspA	3.4.23.36	COG0597	Lipoprotein signal peptidase
HJLADMHE_00102	CDS	1332				hypothetical protein
HJLADMHE_00103	CDS	1272				hypothetical protein
HJLADMHE_00104	CDS	735	agrA_1		COG3279	Accessory gene regulator protein A
HJLADMHE_00105	CDS	879				hypothetical protein
HJLADMHE_00106	CDS	252				hypothetical protein
HJLADMHE_00107	CDS	150				hypothetical protein
HJLADMHE_00108	CDS	3780	addA	3.1.-.-	COG1074	ATP-dependent helicase/nuclease subunit A
HJLADMHE_00109	CDS	3564	addB	3.1.-.-	COG3857	ATP-dependent helicase/deoxyribonuclease subunit B
HJLADMHE_00110	CDS	1224	pepT	3.4.11.4		Peptidase T
HJLADMHE_00111	CDS	1119			COG0327	GTP cyclohydrolase 1 type 2 
HJLADMHE_00112	CDS	696	trmK	2.1.1.217	COG2384	tRNA (adenine(22)-N(1))-methyltransferase
HJLADMHE_00113	CDS	654	rplY			50S ribosomal protein L25
HJLADMHE_00114	CDS	1113	sigA		COG0568	RNA polymerase sigma factor SigA
HJLADMHE_00115	CDS	1887	dnaG	2.7.7.-	COG0358	DNA primase
HJLADMHE_00116	CDS	3285				hypothetical protein
HJLADMHE_00117	CDS	1716		3.6.3.-	COG1132	Putative multidrug export ATP-binding/permease protein
HJLADMHE_00118	CDS	2076	glyS	6.1.1.14	COG0751	Glycine--tRNA ligase beta subunit
HJLADMHE_00119	CDS	930	glyQ	6.1.1.14	COG0752	Glycine--tRNA ligase alpha subunit
HJLADMHE_00120	CDS	777	recO		COG1381	DNA repair protein RecO
HJLADMHE_00121	CDS	909	era		COG1159	GTPase Era
HJLADMHE_00122	CDS	408	cdd	3.5.4.5	COG0295	Cytidine deaminase
HJLADMHE_00123	CDS	381	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
HJLADMHE_00124	CDS	474	ybeY	3.1.-.-		Endoribonuclease YbeY
HJLADMHE_00125	CDS	1020			COG1702	PhoH-like protein
HJLADMHE_00126	CDS	1023				hypothetical protein
HJLADMHE_00127	CDS	114				hypothetical protein
HJLADMHE_00128	CDS	447	yqeY		COG1610	putative protein YqeY
HJLADMHE_00129	CDS	183	rpsU		COG0828	30S ribosomal protein S21
HJLADMHE_00130	CDS	477	zur		COG0735	Zinc-specific metallo-regulatory protein
HJLADMHE_00131	CDS	402	glpE	2.8.1.1		Thiosulfate sulfurtransferase GlpE
HJLADMHE_00132	CDS	972	glcK	2.7.1.2	COG1940	Glucokinase
HJLADMHE_00133	CDS	699	glpG	3.4.21.105		Rhomboid protease GlpG
HJLADMHE_00134	CDS	162	rpmG2			50S ribosomal protein L33 2
HJLADMHE_00135	CDS	2145	penA		COG0768	Penicillin-binding protein 2B
HJLADMHE_00136	CDS	609	sodA	1.15.1.1		Superoxide dismutase [Mn]
HJLADMHE_00137	CDS	957				hypothetical protein
HJLADMHE_00138	CDS	828				hypothetical protein
HJLADMHE_00139	CDS	1566	mglA	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
HJLADMHE_00140	CDS	1137	tmpC		COG1744	Membrane lipoprotein TmpC
HJLADMHE_00141	CDS	2313	spoIIIE		COG1674	DNA translocase SpoIIIE
HJLADMHE_00142	CDS	372	yccX	3.6.1.7		Acylphosphatase
HJLADMHE_00143	CDS	963	yidC			Membrane protein insertase YidC
HJLADMHE_00144	CDS	771				hypothetical protein
HJLADMHE_00145	CDS	1308	cshB	3.6.4.13	COG0513	DEAD-box ATP-dependent RNA helicase CshB
HJLADMHE_00146	CDS	1446	zwf	1.1.1.363		Glucose-6-phosphate 1-dehydrogenase
HJLADMHE_00147	CDS	507	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
HJLADMHE_00148	CDS	222				hypothetical protein
HJLADMHE_00149	CDS	1239			COG1167	Putative aminotransferase/MSMEI_6121
