locus_tag	ftype	length_bp	gene	EC_number	COG	product
AAFEKCOI_00001	CDS	171				hypothetical protein
AAFEKCOI_00002	CDS	153				hypothetical protein
AAFEKCOI_00003	CDS	153				hypothetical protein
AAFEKCOI_00004	CDS	1110	ald2	1.4.1.1		Alanine dehydrogenase 2
AAFEKCOI_00005	CDS	639				hypothetical protein
AAFEKCOI_00006	CDS	1119				hypothetical protein
AAFEKCOI_00007	CDS	531				hypothetical protein
AAFEKCOI_00008	CDS	213				hypothetical protein
AAFEKCOI_00009	CDS	606	rpsD		COG0522	30S ribosomal protein S4
AAFEKCOI_00010	CDS	5139				hypothetical protein
AAFEKCOI_00011	CDS	1524				Putative trans-acting regulator
AAFEKCOI_00012	CDS	360				hypothetical protein
AAFEKCOI_00013	CDS	876	btuD_1	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
AAFEKCOI_00014	CDS	1419				hypothetical protein
AAFEKCOI_00015	CDS	312				hypothetical protein
AAFEKCOI_00016	CDS	450				hypothetical protein
AAFEKCOI_00017	CDS	1239	pepS	3.4.11.-	COG2309	Aminopeptidase PepS
AAFEKCOI_00018	CDS	624				hypothetical protein
AAFEKCOI_00019	CDS	441				hypothetical protein
AAFEKCOI_00020	CDS	852				hypothetical protein
AAFEKCOI_00021	CDS	1485				hypothetical protein
AAFEKCOI_00022	CDS	666				hypothetical protein
AAFEKCOI_00023	CDS	321				hypothetical protein
AAFEKCOI_00024	CDS	834	thiM	2.7.1.50	COG2145	Hydroxyethylthiazole kinase
AAFEKCOI_00025	CDS	441				hypothetical protein
AAFEKCOI_00026	CDS	810	thiQ	3.6.3.-	COG3840	Thiamine import ATP-binding protein ThiQ
AAFEKCOI_00027	CDS	888				hypothetical protein
AAFEKCOI_00028	CDS	975				hypothetical protein
AAFEKCOI_00029	CDS	774	rnhB	3.1.26.4	COG0164	Ribonuclease HII
AAFEKCOI_00030	CDS	873	rbgA		COG1161	Ribosome biogenesis GTPase A
AAFEKCOI_00031	CDS	618	spsB	3.4.21.89	COG0681	Signal peptidase IB
AAFEKCOI_00032	CDS	1473	ctpA	3.4.21.102	COG0793	Carboxy-terminal processing protease CtpA
AAFEKCOI_00033	CDS	711	deoD	2.4.2.1		Purine nucleoside phosphorylase DeoD-type
AAFEKCOI_00034	CDS	228				hypothetical protein
AAFEKCOI_00035	CDS	615				hypothetical protein
AAFEKCOI_00036	CDS	309	celA_1	2.7.1.205		PTS system cellobiose-specific EIIB component
AAFEKCOI_00037	CDS	327	licA_1		COG1447	Lichenan-specific phosphotransferase enzyme IIA component
AAFEKCOI_00038	CDS	1338	licC_1		COG1455	Lichenan permease IIC component
AAFEKCOI_00039	CDS	1428	bglH_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
AAFEKCOI_00040	CDS	228				hypothetical protein
AAFEKCOI_00041	CDS	573				hypothetical protein
AAFEKCOI_00042	CDS	4335				hypothetical protein
AAFEKCOI_00043	CDS	1587				hypothetical protein
AAFEKCOI_00044	CDS	1623				hypothetical protein
AAFEKCOI_00045	CDS	1026	yqeN		COG1466	putative protein YqeN
AAFEKCOI_00046	CDS	2331	comEC		COG0658	ComE operon protein 3
AAFEKCOI_00047	CDS	648				hypothetical protein
AAFEKCOI_00048	CDS	1296	mvaA	1.1.1.88		3-hydroxy-3-methylglutaryl-coenzyme A reductase
AAFEKCOI_00049	CDS	1212	thlA	2.3.1.9	COG0183	Acetyl-CoA acetyltransferase
AAFEKCOI_00050	CDS	1170	mvaS	2.3.3.10	COG3425	Hydroxymethylglutaryl-CoA synthase
AAFEKCOI_00051	CDS	918	pyrD	1.3.1.14	COG0167	Dihydroorotate dehydrogenase B (NAD(+)), catalytic subunit
AAFEKCOI_00052	CDS	1311	pyrC	3.5.2.3		Dihydroorotase
AAFEKCOI_00053	CDS	888	pyrB	2.1.3.2		Aspartate carbamoyltransferase
AAFEKCOI_00054	CDS	201				hypothetical protein
AAFEKCOI_00055	CDS	1365				hypothetical protein
AAFEKCOI_00056	CDS	621	pyrE	2.4.2.10		Orotate phosphoribosyltransferase
AAFEKCOI_00057	CDS	699	pyrF	4.1.1.23		Orotidine 5'-phosphate decarboxylase
AAFEKCOI_00058	CDS	2496				hypothetical protein
AAFEKCOI_00059	CDS	1299				hypothetical protein
AAFEKCOI_00060	CDS	834	ybbA		COG2819	putative protein YbbA
AAFEKCOI_00061	CDS	1185				hypothetical protein
AAFEKCOI_00062	CDS	738				hypothetical protein
AAFEKCOI_00063	CDS	834				hypothetical protein
AAFEKCOI_00064	CDS	1044	gutB	1.1.1.-	COG1063	Sorbitol dehydrogenase
AAFEKCOI_00065	CDS	375				hypothetical protein
AAFEKCOI_00066	CDS	915				hypothetical protein
AAFEKCOI_00067	CDS	1233	ylmB	3.5.1.-	COG0624	N-formyl-4-amino-5-aminomethyl-2-methylpyrimidine deformylase
AAFEKCOI_00068	CDS	699	ykoC			Putative HMP/thiamine permease protein YkoC
AAFEKCOI_00069	CDS	1467	ykoD_1	3.6.3.-	COG1122	Putative HMP/thiamine import ATP-binding protein YkoD
AAFEKCOI_00070	CDS	567	ykoE		COG4721	Putative HMP/thiamine permease protein YkoE
AAFEKCOI_00071	CDS	630	ykoF			Putative HMP/thiamine-binding protein YkoF
AAFEKCOI_00072	CDS	1221	mshA_1	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
AAFEKCOI_00073	CDS	780				hypothetical protein
AAFEKCOI_00074	CDS	777				hypothetical protein
AAFEKCOI_00075	CDS	963	btuD_2	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
AAFEKCOI_00076	CDS	1551	guaA	6.3.5.2		GMP synthase [glutamine-hydrolyzing]
AAFEKCOI_00077	CDS	750				hypothetical protein
AAFEKCOI_00078	CDS	744				hypothetical protein
AAFEKCOI_00079	CDS	933	bcrA_1			Bacitracin transport ATP-binding protein BcrA
AAFEKCOI_00080	CDS	711	sphR		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein SphR
AAFEKCOI_00081	CDS	1353	sasA_1	2.7.-.-		Adaptive-response sensory-kinase SasA
AAFEKCOI_00082	CDS	945	yqjG	1.8.5.7	COG0435	Glutathionyl-hydroquinone reductase YqjG
AAFEKCOI_00083	CDS	582	hpf			Ribosome hibernation promotion factor
AAFEKCOI_00084	CDS	696				hypothetical protein
AAFEKCOI_00085	CDS	1359	comFA	3.6.4.12	COG4098	ComF operon protein 1
AAFEKCOI_00086	CDS	861	degV		COG1307	Protein DegV
AAFEKCOI_00087	CDS	636				hypothetical protein
AAFEKCOI_00088	CDS	1953	yheS		COG0488	putative ABC transporter ATP-binding protein YheS
AAFEKCOI_00089	CDS	582	xpt	2.4.2.22		Xanthine phosphoribosyltransferase
AAFEKCOI_00090	CDS	1032				hypothetical protein
AAFEKCOI_00091	CDS	1008	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
AAFEKCOI_00092	CDS	591				hypothetical protein
AAFEKCOI_00093	CDS	741	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
AAFEKCOI_00094	CDS	1491	galT	2.7.7.12		Galactose-1-phosphate uridylyltransferase
AAFEKCOI_00095	CDS	696				hypothetical protein
AAFEKCOI_00096	CDS	573				hypothetical protein
AAFEKCOI_00097	CDS	90				hypothetical protein
AAFEKCOI_00098	CDS	798				hypothetical protein
AAFEKCOI_00099	CDS	189				hypothetical protein
AAFEKCOI_00100	CDS	222				hypothetical protein
AAFEKCOI_00101	CDS	126				hypothetical protein
AAFEKCOI_00102	CDS	696	lexA_1	3.4.21.88		LexA repressor
AAFEKCOI_00103	CDS	1014				hypothetical protein
AAFEKCOI_00104	CDS	426				hypothetical protein
AAFEKCOI_00105	CDS	783				hypothetical protein
AAFEKCOI_00106	tRNA	74				tRNA-Thr(ggt)
AAFEKCOI_00107	CDS	669	tenA_1	3.5.99.2	COG0819	Aminopyrimidine aminohydrolase
AAFEKCOI_00108	CDS	789				hypothetical protein
AAFEKCOI_00109	CDS	1350	glmM	5.4.2.10	COG1109	Phosphoglucosamine mutase
AAFEKCOI_00110	CDS	972	cdaR		COG4856	CdaA regulatory protein CdaR
AAFEKCOI_00111	CDS	843	dacA_1	2.7.7.85	COG1624	Diadenylate cyclase
AAFEKCOI_00112	tRNA	74				tRNA-Gln(ttg)
AAFEKCOI_00113	tRNA	84				tRNA-Tyr(gta)
AAFEKCOI_00114	tRNA	72				tRNA-Glu(ttc)
AAFEKCOI_00115	CDS	270				hypothetical protein
AAFEKCOI_00116	CDS	741				hypothetical protein
AAFEKCOI_00117	CDS	1590	asD	2.6.1.1		Bifunctional aspartate aminotransferase and L-aspartate beta-decarboxylase
AAFEKCOI_00118	CDS	552				hypothetical protein
AAFEKCOI_00119	CDS	1746				hypothetical protein
AAFEKCOI_00120	CDS	582				hypothetical protein
AAFEKCOI_00121	CDS	1038	sppA	3.4.21.-	COG0616	Putative signal peptide peptidase SppA
AAFEKCOI_00122	CDS	2637	adhE		COG1012	Aldehyde-alcohol dehydrogenase
AAFEKCOI_00123	CDS	558	lemA		COG1704	Protein LemA
AAFEKCOI_00124	CDS	900	htpX	3.4.24.-	COG0501	Protease HtpX 
AAFEKCOI_00125	CDS	894	nagK	2.7.1.59	COG1940	N-acetyl-D-glucosamine kinase
AAFEKCOI_00126	CDS	168				hypothetical protein
AAFEKCOI_00127	CDS	2166	lnpA	2.4.1.211		1,3-beta-galactosyl-N-acetylhexosamine phosphorylase
AAFEKCOI_00128	CDS	876	ngcG_1		COG0395	Diacetylchitobiose uptake system permease protein NgcG
AAFEKCOI_00129	CDS	891	ngcF		COG1175	Diacetylchitobiose uptake system permease protein NgcF
AAFEKCOI_00130	CDS	1368	ngcE			Diacetylchitobiose binding protein NgcE
AAFEKCOI_00131	CDS	1086	yteT	1.-.-.-	COG0673	Putative oxidoreductase YteT
AAFEKCOI_00132	CDS	834	rhaR_1			HTH-type transcriptional activator RhaR
AAFEKCOI_00133	CDS	1323				hypothetical protein
AAFEKCOI_00134	CDS	1293	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
AAFEKCOI_00135	CDS	672	yfbR	3.1.3.89	COG1896	5'-deoxynucleotidase YfbR
AAFEKCOI_00136	CDS	135				hypothetical protein
AAFEKCOI_00137	CDS	489				hypothetical protein
AAFEKCOI_00138	CDS	921				hypothetical protein
AAFEKCOI_00139	CDS	888	ftsX		COG2177	Cell division protein FtsX
AAFEKCOI_00140	CDS	687	ftsE		COG2884	Cell division ATP-binding protein FtsE
AAFEKCOI_00141	CDS	873	rbn	3.1.-.-	COG1234	Ribonuclease BN
AAFEKCOI_00142	CDS	3192				hypothetical protein
AAFEKCOI_00143	CDS	2409				hypothetical protein
AAFEKCOI_00144	CDS	1023	prfB			Peptide chain release factor 2
AAFEKCOI_00145	CDS	2469	secA		COG0653	Protein translocase subunit SecA
AAFEKCOI_00146	CDS	924				hypothetical protein
AAFEKCOI_00147	CDS	516	prdB	1.21.4.1		D-proline reductase subunit gamma
AAFEKCOI_00148	CDS	1146	sufS_1	2.8.1.7	COG0520	Cysteine desulfurase SufS
AAFEKCOI_00149	CDS	726	est_1	3.1.1.1		Carboxylesterase
AAFEKCOI_00150	CDS	1527				hypothetical protein
AAFEKCOI_00151	CDS	1380	selA	2.9.1.1	COG1921	L-seryl-tRNA(Sec) selenium transferase
AAFEKCOI_00152	CDS	1893	selB		COG3276	Selenocysteine-specific elongation factor
AAFEKCOI_00153	CDS	249				hypothetical protein
AAFEKCOI_00154	CDS	357				hypothetical protein
AAFEKCOI_00155	CDS	951	selD	2.7.9.3	COG0709	Selenide, water dikinase
AAFEKCOI_00156	CDS	402				hypothetical protein
