gene_callers_id	contig	start	stop	direction	partial	call_type	source	version
1	c_000000000002	91	628	f	0	1	Prodigal	002006
2	c_000000000002	951	1824	f	0	1	Prodigal	002006
3	c_000000000002	2065	2752	f	0	1	Prodigal	002006
4	c_000000000002	2741	3629	f	0	1	Prodigal	002006
5	c_000000000002	3695	4616	r	0	1	Prodigal	002006
6	c_000000000002	4795	5284	f	0	1	Prodigal	002006
7	c_000000000002	5298	6159	f	0	1	Prodigal	002006
8	c_000000000002	6273	6939	f	0	1	Prodigal	002006
9	c_000000000002	6993	8286	r	0	1	Prodigal	002006
10	c_000000000002	8498	9824	f	0	1	Prodigal	002006
11	c_000000000002	9916	10750	r	0	1	Prodigal	002006
12	c_000000000002	10906	11992	f	0	1	Prodigal	002006
13	c_000000000002	12203	13571	f	0	1	Prodigal	002006
14	c_000000000002	13655	14546	f	0	1	Prodigal	002006
15	c_000000000002	14557	15433	f	0	1	Prodigal	002006
16	c_000000000002	15502	17668	f	0	1	Prodigal	002006
17	c_000000000002	17664	17832	f	0	1	Prodigal	002006
18	c_000000000002	17858	18752	f	0	1	Prodigal	002006
19	c_000000000002	18825	19725	r	0	1	Prodigal	002006
20	c_000000000002	19744	20302	r	0	1	Prodigal	002006
21	c_000000000002	20520	23157	f	0	1	Prodigal	002006
22	c_000000000002	23344	24382	f	0	1	Prodigal	002006
23	c_000000000002	24359	24941	f	0	1	Prodigal	002006
24	c_000000000002	25168	26980	f	0	1	Prodigal	002006
25	c_000000000002	27073	27625	r	0	1	Prodigal	002006
26	c_000000000002	27659	29249	r	0	1	Prodigal	002006
27	c_000000000002	29497	30238	f	0	1	Prodigal	002006
28	c_000000000002	30251	30521	f	0	1	Prodigal	002006
29	c_000000000002	31031	31874	f	0	1	Prodigal	002006
30	c_000000000002	31870	32842	f	0	1	Prodigal	002006
31	c_000000000002	32875	34225	f	0	1	Prodigal	002006
32	c_000000000002	34312	35101	f	0	1	Prodigal	002006
33	c_000000000002	35232	35901	r	0	1	Prodigal	002006
34	c_000000000002	36815	37676	f	0	1	Prodigal	002006
35	c_000000000002	37683	38439	f	0	1	Prodigal	002006
36	c_000000000002	38465	38648	f	0	1	Prodigal	002006
37	c_000000000002	40387	41878	f	0	1	Prodigal	002006
